  PID   UID ARGS                       
    1     0 init second_stage
    2     0 [kthreadd]
    3     0 [rcu_gp]
    4     0 [slub_flushwq]
    5     0 [netns]
    9     0 [mm_percpu_wq]
   11     0 [rcu_tasks_kthread]
   12     0 [rcu_tasks_trace_kthread]
   13     0 [ksoftirqd/0]
   14     0 [rcu_preempt]
   15     0 [rcuog/0]
   16     0 [rcuop/0]
   17     0 [rcub/0]
   18     0 [rcuc/0]
   19     0 [rcu_exp_gp_kthread_worker]
   20     0 [rcu_exp_par_gp_kthread_worker]
   21     0 [migration/0]
   22     0 [idle_inject/0]
   23     0 [cpuhp/0]
   24     0 [cpuhp/1]
   25     0 [idle_inject/1]
   26     0 [migration/1]
   27     0 [rcuc/1]
   28     0 [ksoftirqd/1]
   30     0 [kworker/1:0H-kblockd]
   31     0 [rcuop/1]
   32     0 [cpuhp/2]
   33     0 [idle_inject/2]
   34     0 [migration/2]
   35     0 [rcuc/2]
   36     0 [ksoftirqd/2]
   39     0 [rcuop/2]
   40     0 [cpuhp/3]
   41     0 [idle_inject/3]
   42     0 [migration/3]
   43     0 [rcuc/3]
   44     0 [ksoftirqd/3]
   47     0 [rcuop/3]
   48     0 [cpuhp/4]
   49     0 [idle_inject/4]
   50     0 [migration/4]
   51     0 [rcuc/4]
   52     0 [ksoftirqd/4]
   55     0 [rcuog/4]
   56     0 [rcuop/4]
   57     0 [cpuhp/5]
   58     0 [idle_inject/5]
   59     0 [migration/5]
   60     0 [rcuc/5]
   61     0 [ksoftirqd/5]
   64     0 [rcuop/5]
   65     0 [cpuhp/6]
   66     0 [idle_inject/6]
   67     0 [migration/6]
   68     0 [rcuc/6]
   69     0 [ksoftirqd/6]
   72     0 [rcuop/6]
   73     0 [cpuhp/7]
   74     0 [idle_inject/7]
   75     0 [migration/7]
   76     0 [rcuc/7]
   77     0 [ksoftirqd/7]
   80     0 [rcuop/7]
   81     0 [inet_frag_wq]
   90     0 [kauditd]
   91     0 [khungtaskd]
   92     0 [oom_reaper]
   93     0 [writeback]
   94     0 [kcompactd0]
   96     0 [kblockd]
   97     0 [blkcg_punt_bio]
   98     0 [edac-poller]
   99     0 [devfreq_wq]
  100     0 [watchdogd]
  101     0 [quota_release_w]
  103     0 [kworker/u16:2-events_unbound]
  104     0 [kswapd0]
  105     0 [kzerod_huge]
  106     0 [cifsiod]
  107     0 [smb3decryptd]
  108     0 [cifsfileinfoput]
  109     0 [cifsoplockd]
  110     0 [deferredclose]
  112     0 [erofs_worker/0]
  113     0 [erofs_worker/1]
  114     0 [erofs_worker/2]
  115     0 [erofs_worker/3]
  116     0 [erofs_worker/4]
  117     0 [erofs_worker/5]
  118     0 [erofs_worker/6]
  119     0 [erofs_worker/7]
  121     0 [bioset]
  123     0 [dmabuf-deferred-free-worker]
  124     0 [uas]
  125     0 [dm_bufio_cache]
  126     0 [mld]
  127     0 [ipv6_addrconf]
  128     0 [krfcommd]
  131     0 [five_wq]
  145     0 [sec_abc_wq]
  146     0 [irq/15-qcom-scm]
  147     0 [gh-watchdog]
  148     0 [irq/199-c271000.tsens0]
  149     0 [irq/200-c271000.tsens0]
  150     0 [irq/201-c272000.tsens1]
  151     0 [irq/202-c272000.tsens1]
  152     0 [irq/203-c273000.tsens2]
  153     0 [irq/204-c273000.tsens2]
  154     0 [irq/30-dcvsh-irq-0]
  155     0 [irq/31-dcvsh-irq-3]
  156     0 [irq/32-dcvsh-irq-7]
  163     0 [halt_drain_rqs]
  164     0 [core_ctl]
  165     0 [kworker/1:1H]
  166     0 [kworker/2:1H-kblockd]
  174     0 [kworker/2:2H]
  177     0 [gh_rm_recv_task]
  178     0 [qcom,system-pool-refill-thread]
  179     0 [rbin]
  180     0 [rbin_shrink]
  181     0 [mem_buf_trusted_vm_rcvr]
  182     0 [bwmon_wq]
  183     0 [irq/38-240b6400.qcom,bwmon-llcc]
  184     0 [irq/39-24091000.qcom,bwmon-ddr]
  185     0 [irq/68-arm-smmu global fault]
  186     0 [irq/69-arm-smmu-context-fault]
  190     0 [irq/70-arm-smmu-context-fault]
  203     0 [kworker/7:8-mm_percpu_wq]
  206     0 [qrtr_ns]
  208     0 [irq/294-dp-pmic-irq]
  209     0 [irq/522-qcom,qmp-tme]
  210     0 [irq/71-arm-smmu-context-fault]
  211     0 [scsi_eh_0]
  212     0 [scsi_tmf_0]
  213     0 [qc_ufs_qos_swq]
  214     0 [ufs_eh_wq_0]
  215     0 [ufs_clk_gating_]
  216     0 [ufs_clkscaling_]
  220     0 [kworker/u16:6-bwmon_wq]
  222     0 [irq/269-bcl-lvl0]
  223     0 [irq/270-bcl-lvl1]
